word	defn	main_meaning	other meaning
台北	 臺北	 đài bắc	 Đài Bắc/Taipei
进展	 進展	 tiến triển	 tiến triển/tiến hoá/phát triển
生长	 生長	 sinh trưởng	 sinh trưởng/lớn lên/sinh ra và lớn lên
前途	 前途	 tiền đồ	 tiền đồ/con đường phía trước/triển vọng/tương lai
客气	 客氣	 khách khí	 khách khí/khiêm nhường/lễ độ/khách sáo/lời nói khách sáo/cử chỉ khách sáo
沙漠	 沙漠	 sa mạc	 sa mạc/hoang mạc
所长	 所長	 sở trường/sở trưởng	 sở trường/chính sở/sở trưởng/đồn trưởng
谈论	 談論	 đàm luận	 đàm luận/bàn bạc/bàn tán
山西	 山西	 sơn tây	 Sơn Tây/tỉnh Sơn Tây
吸收	 吸收	 hấp thu	 hấp thu/thấm hút/thu hút/thu nhận/tiếp nhận/làm giảm/giảm/kết nạp
含义	 含義	 hàm nghĩa	 hàm nghĩa/ý nghĩa sâu xa/ý nghĩa kín đáo/hàm ý/ý nghĩa
行程	 行程	 hành trình	 hành trình/lộ trình/tiến trình/quãng xung
营业	 營業	 doanh nghiệp	 buôn bán/doanh nghiệp/kinh doanh
歌词	 歌詞	 ca từ	 ca từ/lời bài hát
日报	 日報	 nhật báo	 nhật báo/báo ra hàng ngày
行走	 行走	 hành tẩu	 hành tẩu/đi
荣誉	 榮譽	 vinh dự	 vinh dự/vẻ vang
考验	 考驗	 khảo nghiệm	 khảo nghiệm/thử thách
缺点	 缺點	 khuyết điểm	 khuyết điểm/thiếu sót
初步	 初步	 sơ bộ	 bước đầu/sơ bộ/ban đầu/lúc đầu/sơ khởi/mở đầu
进程	 進程	 tiến trình	 tiến trình/quá trình diễn biến/dòng
体重	 體重	 thể trọng	 thể trọng/trọng lượng cơ thể/cân nặng
言语	 言語	 ngôn ngữ	 ngôn ngữ/nói/lời nói/trả lời/chào hỏi/mở miệng
规矩	 規矩	 quy củ	 quy củ/phép tắc/tập quán/khuôn phép/thói quen/ngay thẳng thật thà/ngay ngắn/đúng đắn/ngoan ngoãn/hiền lành
议论	 議論	 nghị luận	 nghị luận/thảo luận/bàn bạc/ý kiến thảo luận/ý kiến bàn luận
美食	 美食	 mỹ thực	 mỹ thực/thức ăn ngon
灾难	 災難	 tai nạn	 tai nạn/tai vạ/tai hoạ
维修	 維修	 duy tu	 duy tu/giữ gìn sửa chữa/giữ gìn và tu sửa
改进	 改進	 cải tiến	 cải tiến/cải thiện/cải tạo/trau dồi
消灭	 消滅	 tiêu diệt	 tiêu diệt/diệt vong/làm cho diệt vong/trừ
埃及	 埃及	 ai cập	 Ai Cập/Egypt
口号	 口號	 khẩu hiệu	 khẩu hiệu/khẩu lệnh/mật lệnh/mật mã/mật ngữ/châm ngôn/cách ngôn/ngạn ngữ/tục ngữ
称呼	 稱呼	 xưng hô	 xưng hô/gọi/gọi là/tên là/coi là/cho là/danh xưng/tên gọi/danh hiệu
脱离	 脫離	 thoát ly	 thoát ly/tách rời/thoát khỏi
活泼	 活潑	 hoạt bát	 hoạt bát/sống động/nhanh nhẹn/sinh động/hồn nhiên/không cứng nhắc/dễ hoà nhập/dễ hoà hợp
自觉	 自覺	 tự giác	 tự giác/cảm thấy/cảm giác/tự cảm thấy
故宫	 故宮	 cố cung	 cố cung
自豪	 自豪	 tự hào	 tự hào
股东	 股東	 cổ đông	 cổ đông/người góp vốn
友情	 友情	 hữu tình	 hữu tình/hữu nghị/tình bạn/tình hữu nghị/tình bằng hữu
公正	 公正	 công chính	 công chính/công bằng chính trực/ngay thẳng/không thiên vị
河北	 河北	 hà bắc	 Hà Bắc/tỉnh Hà bắc
分明	 分明	 phân minh	 rõ ràng/phân minh/rõ rệt/hiển nhiên/rõ ràng là
爱国	 愛國	 ái quốc	 ái quốc/yêu nước
海洋	 海洋	 hải dương	 hải dương/biển/biển cả
语音	 語音	 ngữ âm	 giọng nói/ngữ âm
展览	 展攬	 triển lãm	 triển lãm/trưng bày
词语	 詞語	 từ ngữ	 từ ngữ/cách diễn đạt
争论	 爭論	 tranh luận	 tranh luận
不变	 不變	 bất biến	 không thay đổi/bất biến/ổn định/cố định/không biến đổi
顾问	 顧問	 cố vấn	 cố vấn
孙子	 孫子	 tôn tử	 tôn tử/cháu trai
户口	 戶口	 hộ khẩu	 hộ khẩu/tài khoản/hộ tịch
作战	 作戰	 tác chiến	 tác chiến/đánh trận/chiến đấu
自主	 自主	 tự chủ	 tự chủ
转换	 轉換	 chuyển hoán	 chuyển hoán/thay đổi/chuyển đổi/đổi
聚集	 聚集	 tụ tập	 tụ tập/tập hợp/tụ họp/tập trung/tụ hội
高原	 高原	 cao nguyên	 cao nguyên/rẻo cao/bình nguyên/đồng cao
惟一	 惟一	 duy nhất	 duy nhất/độc nhất vô nhị/có một không hai
恶心	 惡心	 ác tâm	 ghê tởm/ác tâm/buồn nôn/buồn ói/mắc ói/lộn mửa/chán ghét/ghét bỏ/khiến người ta ghét bỏ
约定	 約定	 ước định	 ước định/hẹn/giao hẹn/giao ước/hẹn sẵn
想念	 想念	 tưởng niệm	 tưởng niệm/nhớ
灵活	 靈活	 linh hoạt	 linh hoạt/nhanh nhẹn/năng động/nhạy bén
黄昏	 黃昏	 hoàng hôn	 hoàng hôn/xế chiều/lúc mặt trời lặn
创意	 創意	 sáng ý	 sáng ý
人格	 人格	 nhân cách	 nhân cách/tính cách/tính tình/đạo đức/phẩm chất/tư cách con người/tư cách làm chủ
安心	 安心	 an tâm	 an tâm/rắp tâm/có ý/định bụng/lòng dạ/mưu toan/yên tâm
事务	 事務	 sự vụ	 sự vụ/công việc/việc hành chính quản trị
暴露	 暴露	 bộc lộ	 bại lộ/bộc lộ/để lộ/phơi bày/bóc trần/vạch trần/tiết lộ/biểu lộ
整齐	 整齊	 chỉnh tề	 chỉnh tề/ngăn nắp/trật tự/làm cho ngay ngắn/làm cho có trật tự/ngay ngắn/hoàn chỉnh/đều/đều đặn/đồng đội
生态	 生態	 sinh thái	 sinh thái
当今	 當今	 đương kim	 đương kim/hiện nay/hiện thời/trước mắt/đương kim hoàng thượng/đương kim hoàng đế
辞职	 辭職	 từ chức	 từ chức/từ bỏ/trao/nhường
强迫	 強迫	 cưỡng bách	 bắt buộc/ép buộc/cưỡng bức/cưỡng bách/cưỡng ép
草原	 草原	 thảo nguyên	 thảo nguyên/đồng cỏ
步行	 步行	 bộ hành	 đi bộ/bộ hành/cuốc bộ/đi chân
职位	 職位	 chức vị	 chức vị
镇压	 鎮壓	 trấn áp	 trấn áp/đàn áp/xử tử/hành quyết/hành hình/lèn/cán/nện
上级	 上級	 thượng cấp	 thượng cấp/cấp trên
优点	 優點	 ưu điểm	 ưu điểm/chỗ mạnh/điểm tốt
剧本	 劇本	 kịch bản	 kịch bản
良心	 良心	 lương tâm	 lương tâm
转化	 轉化	 chuyển hóa	 chuyển hóa/thay đổi/chuyển biến/chuyển hoá
预防	 預防	 dự phòng	 dự phòng/phòng bị trước/ngăn chặn/ngăn ngừa
司法	 司法	 tư pháp	 tư pháp
前方	 前方	 tiền phương	 phía trước/tiền phương/đằng trước/trước mặt/tiền tuyến
个体	 個體	 cá thể	 thân thể/cá thể/cá nhân/đơn lẻ/hộ cá thể
战场	 戰場	 chiến trường	 chiến trường
精英	 精英	 tinh anh	 tinh anh
强化	 強化	 cường hóa	 cường hóa/củng cố/tăng cường/làm mạnh thêm
抗战	 抗戰	 kháng chiến	 kháng chiến/kháng Nhật
豆腐	 豆腐	 đậu hủ	 đậu hủ/đậu hũ/đậu hũ/đậu phụ/tào phở
世人	 世人	 thế nhân	 thế nhân/người trần/người đời/người phàm tục
图案	 圖案	 đồ án	 đồ án/hoa văn/hình vẽ
暗示	 暗示	 ám thị	 ám chỉ/ám thị/ra hiệu ngầm/gợi ý/nói bóng gió
原理	 原理	 nguyên lí/nguyên lý	 nguyên lý/nguyên lý cơ bản/chân lý lúc nguyên thủy
乐观	 樂觀	 lạc quan	 lạc quan/vui vẻ
国民	 國民	 quốc dân	 quốc dân
景象	 景象	 cảnh tượng	 cảnh tượng/hiện tượng/cảnh
手法	 手法	 thủ pháp	 thủ pháp/bút pháp/phương pháp/mánh khoé/thủ đoạn
无情	 無情	 vô tình	 vô tình/bạc tình/lạnh lẽo/tuyệt tình/không thương tiếc gì/không nể tình/nhẫn tâm/tàn nhẫn
治安	 治安	 trị an	 trị an/an ninh trật tự
流通	 流通	 lưu thông	 lưu thông/thoáng/không bí
不堪	 不堪	 bất kham	 không chịu nổi/bất kham/chịu không thấu/không thể/cực kỳ/thậm/kinh khủng/không thể tả/quá chừng/quá quắt/bất trị/chịu hết thấu/chịu không nổi/chẳng chịu được
自称	 自稱	 tự xưng	 tự xưng/xưng/tự cho là/tự tung tin/tự đánh giá/tự nói
条例	 條例	 điều lệ	 điều lệ
惩罚	 懲罰	 trừng phạt	 trừng phạt/nghiêm phạt/nghiêm trị/nghiêm khắc trừng trị/nghiêm khắc trừng phạt
分布	 分布	 phân bố	 phân bố/rải rác/phân phối
失踪	 失蹤	 thất tung	 mất tích/thất tung
极端	 極端	 cực đoan	 cực đoan/tột cùng/vô cùng/cực kỳ
犯人	 犯人	 phạm nhân	 phạm nhân/tội phạm
光荣	 光榮	 quang vinh	 quang vinh/vinh quang/vẻ vang/vinh dự
体力	 體力	 thể lực	 thể lực/sức khoẻ
风情	 風情	 phong tình	 phong tình/lẳng lơ/tình cảm/tâm tình/cử chỉ/tình hình gió/cử chỉ bên ngoài/phong thổ nhân tình
专用	 專用	 chuyên dụng	 chuyên dụng/riêng/chuyên dùng vào/chuyên môn
贵族	 貴族	 quý tộc	 quý tộc
依赖	 依賴	 ỷ lại	 ỷ lại/nương tựa/dựa vào
口味	 口味	 khẩu vị	 khẩu vị/hương vị/mùi vị/gu
新娘	 新孃	 tân nương	 tân nương/cô dâu/tân giai nhân
公子	 公子	 công tử	 công tử
失业	 失業	 thất nghiệp	 thất nghiệp/không có việc làm
湖北	 湖北	 hồ bắc	 Hồ Bắc
地狱	 地獄	 địa ngục	 địa ngục/âm phủ/địa phủ
清理	 清理	 thanh lí/thanh lý	 rửa sạch/thanh lý/kiểm kê/dọn dẹp
地震	 地震	 địa chấn	 động đất/địa chấn/chấn động
家园	 家園	 gia viên	 gia viên/quê hương/gia đình/vườn nhà/cây nhà lá vườn/nhà làm
景色	 景色	 cảnh sắc	 cảnh sắc/phong cảnh/cảnh vật/cảnh
原文	 原文	 nguyên văn	 nguyên văn
符号	 符號	 phù hiệu	 ký hiệu/dấu hiệu/dấu/phù hiệu
艰苦	 艱苦	 gian khổ	 gian khổ/khó khăn gian khổ/gian nan khổ cực
神圣	 神聖	 thần thánh	 thần thánh/thiêng liêng
亲密	 親密	 thân mật	 thân mật/thân thiết
讲解	 講解	 giảng giải	 giảng giải/giải thích/giới thiệu
业余	 業餘	 nghiệp dư	 nghiệp dư/không chuyên
委托	 委託	 ủy thác	 ủy thác/uỷ thác/nhờ
人力	 人力	 nhân lực	 nhân lực/sức người
时机	 時機	 thời cơ	 thời cơ
阶级	 階級	 giai cấp	 giai cấp/bậc thềm/cấp bậc/đẳng cấp
反抗	 反抗	 phản kháng	 phản kháng/đấu tranh/chống/chống lại
占领	 占領	 chiếm lĩnh	 chiếm lĩnh/chiếm đóng/chiếm cứ/chiếm/chiếm giữ
尊严	 尊嚴	 tôn nghiêm	 tôn nghiêm/danh dự/trang trọng/uy nghiêm
繁华	 繁華	 phồn hoa	 phồn hoa/sầm uất/phồn thịnh
会谈	 會談	 hội đàm	 hội đàm/hoà đàm/đàm phán
西北	 西北	 tây bắc	 tây bắc/Tây Bắc
提议	 提議	 đề nghị	 đề nghị/vấn đề nêu ra bàn bạc
随身	 隨身	 tùy thân	 tùy thân/mang bên mình/theo bên người
名义	 名義	 danh nghĩa	 danh nghĩa/tư cách/về danh nghĩa/trên danh nghĩa
外界	 外界	 ngoại giới	 ngoại giới/bên ngoài
克服	 克服	 khắc phục	 vượt qua/khắc phục/chinh phục/chế ngự/giải quyết/khắc chế/chịu đựng/chịu
性能	 性能	 tính năng	 tính năng
京城	 京城	 kinh thành	 kinh thành/kinh đô
村庄	 村莊	 thôn trang	 thôn trang/làng mạc/thôn xóm
能量	 能量	 năng lượng	 năng lượng
大队	 大隊	 đại đội	 đại đội/đại đại
预算	 預算	 dự toán	 dự toán/dự trù/dự thảo
高峰	 高峰	 cao phong	 cao phong/đỉnh cao/đỉnh núi cao/cao điểm
菩萨	 菩薩	 bồ tát	 Bồ Tát/Phật/thần Phật/tấm lòng Bồ tát
卫星	" 衛星	 vệ tinh	 vệ tinh/vệ tinh nhân tạo/thiên thể quay quanh hành tinh, bản thân nó không thể phát sáng, như mặt trăng là vệ tinh của trái đất	 #3659	 f: 15.02"	ｗｅｉ４卫ｘｉｎｇ１星	
助理	 助理	 trợ lí/trợ lý	 trợ lý/giúp việc
自在	 自在	 tự tại	 tự tại/tự do/không bị ràng buộc/an nhàn/dễ chịu/thanh thản
视觉	 視覺	 thị giác	 thị giác
证券	 證券	 chứng khoán	 chứng khoán
入口	 入口	 nhập khẩu	 nhập khẩu/vào cửa/vào miệng/nhập cảng/cửa vào/cổng vào
舆论	 輿論	 dư luận	 dư luận
用心	 用心	 dụng tâm	 dụng tâm/chăm chỉ/để tâm/ý định/mưu đồ
检验	 檢驗	 kiểm nghiệm	 kiểm nghiệm/kiểm tra
书法	 書法	 thư pháp	 thư pháp/bút pháp
定期	 定期	 định kỳ	 định kỳ/thường lệ/định ngày/định thời gian/theo kỳ hạn
工艺	 工藝	 công nghệ	 công nghệ/kỹ thuật/thủ công mỹ nghệ
理智	 理智	 lí trí/lý trí	 lý trí
题材	 題材	 đề tài	 đề tài
魔法	 魔法	 ma pháp	 ma pháp
流传	 流傳	 lưu truyền	 truyền lưu/lưu truyền/truyền đi
生死	 生死	 sinh tử	 sinh tử/sống chết
举动	 舉動	 cử động	 hành động/cử động/động tác/việc làm
生理	 生理	 sinh lý	 sinh lý/sinh lí
服饰	 服飾	 phục sức	 phục sức/quần áo và trang sức
损害	 損害	 tổn hại	 tổn hại
国语	 國語	 quốc ngữ	 quốc ngữ/ngữ văn/bài học ngữ văn
通用	 通用	 thông dụng	 thông dụng/dùng phổ biến/dùng thay/dùng thay cho nhau
志愿	 志願	 chí nguyện	 chí nguyện/chí hướng và nguyện vọng/tự nguyện/tình nguyện
电台	 電臺	 điện đài	 radio/điện đài/điện đài vô tuyến/đài phát thanh
不明	 不明	 bất minh	 không rõ/bất minh/không biết/không chắc chắn/còn ngờ vực/không phân biệt được/không hiểu/tối tăm/khó hiểu/mù mịt/không rõ ràng
精灵	 精靈	 tinh linh	 tinh linh/quỷ quái/ma quỷ/yêu tinh/ranh mãnh/tinh ranh/khôn lanh/bóng ma/thần/ma
热心	 熱心	 nhiệt tâm	 nhiệt tâm/nhiệt tình/sốt sắng
占据	 占據	 chiếm cứ	 chiếm cứ/chiếm/chiếm giữ
民国	 民國	 dân quốc	 dân quốc
自学	 自學	 tự học	 tự học
永恒	 永恆	 vĩnh hằng	 vĩnh hằng/vĩnh viễn/mãi mãi/đời đời bền vững
会长	 會長	 hội trưởng	 hội trưởng
武装	 武裝	 võ trang/vũ trang	 võ trang/vũ trang/trang bị
操场	 操場	 thao trường	 sân thể dục/thao trường/bãi tập
是非	 是非	 thị phi	 thị phi/không phải là/là phi/đúng sai/phải trái/chuyện lôi thôi/điều rắc rối
冒险	 冒險	 mạo hiểm	 mạo hiểm/phiêu lưu/liều lĩnh/vuốt râu cọp/nhắm mắt đưa chân
演奏	 演奏	 diễn tấu	 diễn tấu
模型	 模型	 mô hình	 mô hình/khuôn/hình mẫu/khuôn đổ/khuôn ép/khuôn mẫu
建造	 建造	 kiến tạo	 kiến tạo/xây dựng/làm ra/lập nên/làm nên/dựng nên
援助	 援助	 viện trợ	 viện trợ/giúp đỡ/cứu trợ/chi viện
继承	 繼承	 kế thừa	 kế thừa/thừa kế/thừa tự/thừa hưởng/kế tục
内衣	 內衣	 nội y	 nội y/áo trong/áo lót
审查	 審查	 thẩm tra	 thẩm tra/xem xét/xét duyệt
江西	 江西	 giang tây	 Giang Tây/tỉnh Giang Tây
解答	 解答	 giải đáp	 giải đáp/giải/giải thích
普及	 普及	 phổ cập	 thông dụng/phổ cập/phổ biến/phổ biến rộng khắp
希腊	 希臘	 hi lạp/hy lạp	 Hy Lạp/Greece
遗产	 遺產	 di sản	 di sản/của để lại
赞成	 贊成	 tán thành	 tán thành/đồng ý/giúp hoàn thành/giúp cho thành
药品	 藥品	 dược phẩm	 dược phẩm/thuốc
妓女	 妓女	 kĩ nữ/kỹ nữ	 kỹ nữ/gái điếm
温和	 溫和	 ôn hòa	 ôn hòa/ấm áp/ôn hoà/mềm mỏng/dịu dàng/nhã nhặn/điềm đạm/êm dịu/ấm/nóng
排除	 排除	 bài trừ	 bài trừ/gạt bỏ/loại bỏ
狮子	 獅子	 sư tử	 sư tử
命名	 命名	 mệnh danh	 mệnh danh/đặt tên
绘画	 繪畫	 hội họa	 hội họa/hội hoạ/vẽ tranh/môn vẽ
糊涂	 糊塗	 hồ đồ	 hồ đồ/không rõ/mơ hồ/lơ mơ/lung tung/bừa bộn/hỗn loạn/vớ vẩn/không rõ ràng
天然	 天然	 thiên nhiên	 thiên nhiên/tự nhiên
邮政	 郵政	 bưu chính	 bưu chính/ngành bưu chính
女郎	 女郎	 nữ lang	 nữ lang/cô nàng
收回	 收回	 thu hồi	 thu hồi/thu về/lấy về/thủ tiêu/huỷ bỏ
不利	 不利	 bất lợi	 bất lợi/không có lợi/không thuận tiện/xui/rủi/có hại
文凭	 文憑	 văn bằng	 văn bằng/bằng tốt nghiệp/bằng cấp
病情	 病情	 bệnh tình	 bệnh tình/tình trạng bệnh
鉴定	 鑑定	 giám định	 xem xét/giám định/đánh giá/phân định/phân biệt định đoạt
种类	 種類	 chủng loại	 chủng loại/loại
侵犯	 侵犯	 xâm phạm	 xâm phạm/can thiệp
应对	 應對	 ứng đối	 ứng đối/đối đáp/trả lời/đáp lời
家门	 家門	 gia môn	 gia môn/cửa chính/gia tộc tôi/gia đình tôi/nhà tôi
终身	 終身	 chung thân	 chung thân/cả đời/suốt đời/trọn đời
自行	 自行	 tự hành	 tự hành/tự mình làm/tự động
